b,r,c
"(:Blog {path: /blogs/posts/aipan-art-the-uttaranchal-legacy, title: Aipan Art: A Treasured Legacy of Uttarakhand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sandalwood-kadam-wood-carving, title: Sandalwood & Kadam Wood Carving})"
"(:Blog {path: /blogs/posts/symbolism-of-fish-in-indian-art, title: SYMBOLISM OF FISH IN INDIAN ART})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/art-and-craft-map-of-rajasthan, title: Art and Craft Map of Rajasthan})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/majuli-mask-painting, title: Majuli Mask Painting})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/how-to-identify-a-madhubani-painting, title: How To Identify a Madhubani Painting?})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/the-art-of-stone-dust, title: The Art of Stone Dust})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/budh-purnima-celebrating-the-enlightened-one, title: Budh Purnima: Celebrating the Enlightened One})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/sohrai, title: Sohrai})"
"(:Blog {path: /blogs/posts/mapping-indias-folk-music-styles, title: India's Folk Music Styles: A Map})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/venkat-raman-singh-shyam, title: Venkat Raman Singh Shyam})"
"(:Blog {path: /blogs/posts/the-gond-community-an-overview, title: The Gond Community: An Overview})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/venkat-raman-singh-shyam, title: Venkat Raman Singh Shyam})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-gujarat, title: Painting and Artwork of Gujarat})"
"(:Blog {path: /blogs/posts/cultural-traditions-at-mahakumbh-a-gateway-to-indian-art, title: Cultural Traditions at Mahakumbh – A Gateway to Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/tales-of-three-devis-stories-for-kids, title: Tales of Three Devis: Stories for Kids})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/portrayal-of-christianity-in-traditional-indian-artforms, title: Portrayal of Christianity in Traditional Indian Artforms})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/unfurling-a-world-of-wonder-a-journey-into-bengal-pattachitra, title: Unfurling a world of wonder: A journey into Bengal Pattachitra})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/kalighat-paintings-the-satirical-pop-art-of-19th-century-kolkata, title: Kalighat Paintings: The Satirical Pop Art of 19th-century Kolkata})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/chitrakathi-storytelling-tradition-of-india, title: Chitrakathi Storytelling Tradition of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sholapith, title: Sholapith Art Collection})"
"(:Blog {path: /blogs/posts/understanding-the-symbolism-of-motifs-in-madhubani-art, title: Understanding the Symbolism of Motifs in Madhubani Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-bihar, title: Traditional Art and Craft of Bihar})"
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-bihar, title: Traditional Art and Craft of Bihar})"
"(:Blog {path: /blogs/posts/ganjifa-a-kaleidoscope-of-indian-art-and-culture, title: Ganjifa: A kaleidoscope of Indian art and culture})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-karnataka, title: Handmade traditional art of Karnataka})"
"(:Blog {path: /blogs/posts/chitrakathi-storytelling-tradition-of-india, title: Chitrakathi Storytelling Tradition of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-karnataka, title: Handmade traditional art of Karnataka})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-karnataka, title: Handmade traditional art of Karnataka})"
"(:Blog {path: /blogs/posts/zardozi-embroidery-of-the-royals, title: Zardozi, embroidery of the royals})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/marble-inlay, title: Marble Inlay})"
"(:Blog {path: /blogs/posts/ganjifa-a-kaleidoscope-of-indian-art-and-culture, title: Ganjifa: A kaleidoscope of Indian art and culture})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/marble-inlay, title: Marble Inlay})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/rogan-art, title: Rogan Art})"
"(:Blog {path: /blogs/posts/the-art-of-stone-dust, title: The Art of Stone Dust})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/rogan-art, title: Rogan Art})"
"(:Blog {path: /blogs/posts/indian-blue-pottery, title: Indian Blue Pottery})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/rogan-art, title: Rogan Art})"
"(:Blog {path: /blogs/posts/visit-kutch-s-colourful-craft-village-nirona, title: Visit Kutch’s colourful craft village Nirona})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/rogan-art, title: Rogan Art})"
"(:Blog {path: /blogs/posts/hampi-the-enigmatic-marvel-of-india, title: HAMPI:  THE ENIGMATIC MARVEL OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pooja-room-decor, title: Pooja Room Decor})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pooja-room-decor, title: Pooja Room Decor})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pooja-room-decor, title: Pooja Room Decor})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pooja-room-decor, title: Pooja Room Decor})"
"(:Blog {path: /blogs/posts/ganjifa-a-kaleidoscope-of-indian-art-and-culture, title: Ganjifa: A kaleidoscope of Indian art and culture})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/ganjifa, title: Ganjifa})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/ganjifa, title: Ganjifa})"
"(:Blog {path: /blogs/posts/the-city-of-barmer-all-you-need-to-know, title: The City of Barmer: All You Need To Know})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-telangana, title: Traditional art of Telangana})"
"(:Blog {path: /blogs/posts/bandhani-print-india, title: Bandhani Print: The Art of Tie-Dye in India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-telangana, title: Traditional art of Telangana})"
"(:Blog {path: /blogs/posts/hampi-the-enigmatic-marvel-of-india, title: HAMPI:  THE ENIGMATIC MARVEL OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-telangana, title: Traditional art of Telangana})"
"(:Blog {path: /blogs/posts/seeking-meanings-reading-symbolic-motifs-in-mandana, title: Seeking Meanings: Reading Symbolic Motifs in Mandana})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-telangana, title: Traditional art of Telangana})"
"(:Blog {path: /blogs/posts/thoughtful-diwali-gifts-for-2024-unique-ideas-to-brighten-your-festive-celebrations, title: Thoughtful Diwali Gifts for 2024: Unique Ideas to Brighten Your Festive Celebrations})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/brass-metal-craft, title: Brass Metal Craft})"
"(:Blog {path: /blogs/posts/15-inspiring-lakshmi-and-ganesha-painting-ideas-for-diwali, title: 15 inspiring Lakshmi and Ganesha painting ideas for Diwali})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/brass-metal-craft, title: Brass Metal Craft})"
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/brass-metal-craft, title: Brass Metal Craft})"
"(:Blog {path: /blogs/posts/human-animal-hybrids-as-a-motif-in-indian-folklores, title: Human-Animal Hybrids as a Motif in Indian Folklores})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/brass-metal-craft, title: Brass Metal Craft})"
"(:Blog {path: /blogs/posts/seeking-meanings-reading-symbolic-motifs-in-mandana, title: Seeking Meanings: Reading Symbolic Motifs in Mandana})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/brass-metal-craft, title: Brass Metal Craft})"
"(:Blog {path: /blogs/posts/the-evolution-of-gond-painting-from-walls-to-paper, title: The Evolution of Gond Painting From Walls to Paper})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/brass-metal-craft, title: Brass Metal Craft})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chamba-rumal-embroidery, title: Chamba Rumal – Exquisite Embroidered Art from Himachal Pradesh})"
"(:Blog {path: /blogs/posts/echoes-across-brush-and-landscape, title: Echoes Across Brush and Landscape})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chamba-rumal-embroidery, title: Chamba Rumal – Exquisite Embroidered Art from Himachal Pradesh})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chamba-rumal-embroidery, title: Chamba Rumal – Exquisite Embroidered Art from Himachal Pradesh})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chamba-rumal-embroidery, title: Chamba Rumal – Exquisite Embroidered Art from Himachal Pradesh})"
"(:Blog {path: /blogs/posts/the-paintings-of-rabindranath-tagore, title: The Paintings of Rabindranath Tagore})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tikuli, title: Tikuli Art of Bihar})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tikuli, title: Tikuli Art of Bihar})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tikuli, title: Tikuli Art of Bihar})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/tikuli, title: Tikuli Art of Bihar})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tikuli, title: Tikuli Art of Bihar})"
"(:Blog {path: /blogs/posts/the-different-forms-of-floor-paintings, title: The Different Forms of Floor Paintings in South Asia})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tikuli, title: Tikuli Art of Bihar})"
"(:Blog {path: /blogs/posts/development-of-indian-miniature-paintings-of-the-rajput-style, title: Development of Indian miniature paintings of the Rajput style})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kavad-art, title: Kavad Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kavad-art, title: Kavad Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kavad-art, title: Kavad Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/molela-village-a-hidden-gem-of-traditional-crafts, title: Molela Village: A Hidden Gem of Traditional Crafts})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kavad-art, title: Kavad Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/motifs-and-math-geometric-shapes-in-warli-art, title: Motifs and Math: Geometric Shapes in Warli Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kailash-pradhan, title: Kailash Pradhan})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/kailash-pradhan, title: Kailash Pradhan})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kailash-pradhan, title: Kailash Pradhan})"
"(:Blog {path: /blogs/posts/the-life-stories-of-mahavira, title: The Life Stories of Mahavira})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kailash-pradhan, title: Kailash Pradhan})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kailash-pradhan, title: Kailash Pradhan})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-gond-community-an-overview, title: The Gond Community: An Overview})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-ritual-art-of-pithora-wall-paintings, title: The Ritual Art Of Pithora Wall Paintings})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-crafts-of-gudi-padwa, title: The Crafts of Gudi Padwa})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/motifs-and-math-geometric-shapes-in-warli-art, title: Motifs and Math: Geometric Shapes in Warli Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/molela-terracotta-craft, title: Molela Terracotta: A Rajasthani Craft})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/hampi-the-enigmatic-marvel-of-india, title: HAMPI:  THE ENIGMATIC MARVEL OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/kantha-the-embroidered-threads-of-bengal, title: Kantha – the embroidered threads of Bengal})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/majuli-mask-painting, title: Majuli Mask Painting})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/molela-village-a-hidden-gem-of-traditional-crafts, title: Molela Village: A Hidden Gem of Traditional Crafts})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-art-of-kantha, title: The Art of Kantha})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-art-of-stone-dust, title: The Art of Stone Dust})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/art-guides/how-to-get-commissioned-indian-artworks-on-memeraki-right, title: How to Get Commissioned Indian Artworks On MeMeraki?})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/seeking-meanings-reading-symbolic-motifs-in-mandana, title: Seeking Meanings: Reading Symbolic Motifs in Mandana})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-evolution-of-gond-painting-from-walls-to-paper, title: The Evolution of Gond Painting From Walls to Paper})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-role-of-clay-in-preserving-adivasi-heritage, title: The Role of Clay Art in Preserving India's Intangible Adivasi Heritage})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/why-tribal-art-matters, title: Why Tribal Art Matters})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bhil, title: Bhil Art Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/warli-art-tribal-art-of-india, title: Warli Art- Tribal Art of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-maharashtra, title: Art and Crafts of Maharashtra})"
"(:Blog {path: /blogs/posts/warli-paintings-different-types-styles, title: WARLI PAINTINGS, DIFFERENT TYPES & STYLES})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-maharashtra, title: Art and Crafts of Maharashtra})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-maharashtra, title: Art and Crafts of Maharashtra})"
"(:Blog {path: /blogs/posts/how-to-read-a-thangka-a-beginner-s-guide-to-symbols-mudras-and-attributes, title: How to Read a Thangka: A Beginner’s Guide to Symbols, Mudras and Attributes})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/thangka-art, title: Thangka Art})"
"(:Blog {path: /blogs/posts/the-forgotten-indian-handicrafts-revivalist-remembering-kamaladevi-chattopadhyay, title: The Forgotten Indian Handicrafts Revivalist: Remembering Kamaladevi Chattopadhyay})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/thangka-art, title: Thangka Art})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/love-and-romance-in-indian-miniature-paintings, title: Love and Romance in Indian Miniature Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/odop-list, title: One District One Product (ODOP) Catalog})"
"(:Blog {path: /blogs/posts/pichwai-as-a-timeless-investment-the-art-collectors-guide, title: Pichwai as a Timeless Investment–The Art Collectors’ Guide})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/crafts-of-holi-indias-festive-artistry, title: Crafts of Holi: India's Festive Artistry})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/nathdwara-the-city-of-lord-krishna, title: Nathdwara: The City of Lord Krishna})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/the-evolution-of-thanjavur-paintings-a-cultural-synthesis-of-indian-art-and-heritage, title: The Evolution of Thanjavur Paintings: Unraveling the Influences that Shaped Them})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/the-art-of-home-decor-why-you-should-embrace-pichwai-art, title: The Art of Home Decor: Why you should embrace Pichwai Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/shreenathji-temple-architecture-first-impressions, title: Shreenathji Temple Architecture: First Impressions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai-cows, title: Pichwai Cow Paintings – A Symbol of Devotion and Artistry})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/santosh-uikey, title: Santosh Uikey})"
"(:Blog {path: /blogs/posts/kantha-the-embroidered-threads-of-bengal, title: Kantha – the embroidered threads of Bengal})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/santosh-uikey, title: Santosh Uikey})"
